Time,The 1th agent,The 2th agent,The 3th agent,The 4th agent,The 5th agent,The 6th agent,The 7th agent,The 8th agent,The 9th agent,The 10th agent,The 11th agent,The 12th agent,The 13th agent
54,83.84446027138577,18.440454565625846,68.83602431289746,2.9433409334374754,0.948082308632675,16.69247044803962,87.23160732549573,16.64438846936429,65.96135692684688,15.384159402349916,9.382752353828199,11.31276529183535,11.817783973492384
55,80.9259203822728,18.32518475651073,65.98368672506048,3.1893810375596994,1.1739200744308238,16.712250837967787,84.28022264524297,16.438162192097593,63.08274130923027,15.254965159856487,9.196675395168409,11.240572934418827,11.674464754587571
56,77.98369696862589,18.17635136492422,63.04873805177294,3.4553396415929654,1.369276399947095,16.720110300411637,81.28567777644233,16.36236155094759,60.15178574219853,15.141847490814126,9.025114063608891,11.20816366078886,11.673603560713207
57,75.06029645381183,17.95514873257178,60.14551801262346,3.7509125683606954,1.56449963363678,16.673081202997,78.37397236211542,16.401469485935614,57.170077343527,15.056034463275541,9.03472840152695,11.176500643644838,11.707803942494218
58,72.12972612853055,17.69297246487754,57.19899850362147,3.9790032679047798,1.7985845040187627,16.57503992666266,75.35453042408942,16.45094390505258,54.116564882970934,14.960128813036423,9.203212584228295,11.03089525578207,11.736029275438563
59,69.2066437551765,17.496803469349846,54.2978527495022,4.243343221024419,1.9899816442087206,16.52638844849262,72.39560365429944,16.557969602999428,51.14136123803275,14.880398096312048,9.189531921963956,10.974305818440222,11.752845116080282
60,66.24369916286385,17.350707144398083,51.34731370738536,4.6002188606277485,2.0691244796559194,16.56651612354381,69.43969248549705,16.64748159489306,48.22647012882605,14.80733195130283,9.060712489920304,10.878500445674034,11.722581189053141
61,63.2942282914594,17.197602222587697,48.373078805851605,4.860575506536394,2.231798084541457,16.548289988243095,66.40617679019626,16.744340564411562,45.14288366982773,14.694390339357993,9.065538787108117,10.727797391283511,11.65848022062557
62,60.48082708297363,17.01405745514174,45.60824461582042,5.048063311771189,2.4802339890537173,16.48733339096518,63.649873022359856,16.84491047961886,42.274390773363734,14.559729774485184,9.16697413368274,10.813208656786179,11.617540522317274
63,57.430575564541954,16.808832885500927,42.6234097208433,5.217399537982808,2.746971550095123,16.43738970015812,60.589644478062745,16.924986412268108,39.26046386901754,14.403540371502695,9.304732115108624,10.784291336401667,11.568616793780741
64,54.316938887875615,16.798335583287024,39.468955963056,5.293244119164744,2.9851319279057167,16.44669415140571,57.43700536287678,17.03867543756626,36.09621337168657,14.213808620429395,9.253018964959198,10.750944079886548,11.457182257949663
65,51.26114264039568,16.796699080195054,36.45549003215611,5.444246836770833,3.2128405232927664,16.50202884007531,54.468455481712354,17.14742658114499,33.141464314923695,14.065400240065994,9.072775230736964,10.789134090384938,11.39599965115546
